Bag ID,Enzyme,nmol_per_ml,SampleID,wet.wt,dry.wt,perc.moist,perc.dry,enz.raw,enz.wt,volume,activity
CO189,lap,0.177824763,CO189,4.65,3.467240356,0,1,0.2395,0.2395,125,92.81041934
CO12,lap,0.114447675,CO12,4.47,3.5953125,0.125,0.875,0.1815,0.1588125,125,90.08081482
QR178,lap,0.064003462,QR178,4.58,3.551532033,0,1,0.2078,0.2078,125,38.50063899
CO189,nag,4.930502137,CO189,4.65,3.467240356,0,1,0.2395,0.2395,125,2573.330969
CO12,nag,3.40482954,CO12,4.47,3.5953125,0.125,0.875,0.1815,0.1588125,125,2679.913058
QR178,nag,4.741996817,QR178,4.58,3.551532033,0,1,0.2078,0.2078,125,2852.500491
CO189,bxyl,1.547287993,CO189,4.65,3.467240356,0,1,0.2395,0.2395,125,807.5615829
CO12,bxyl,0.432233875,CO12,4.47,3.5953125,0.125,0.875,0.1815,0.1588125,125,340.2076942
QR178,bxyl,0.227303486,QR178,4.58,3.551532033,0,1,0.2078,0.2078,125,136.7321256
CO189,bcell,5.906279924,CO189,4.65,3.467240356,0,1,0.2395,0.2395,125,3082.609564
CO12,bcell,3.176610787,CO12,4.47,3.5953125,0.125,0.875,0.1815,0.1588125,125,2500.283973
QR178,bcell,1.76729173,QR178,4.58,3.551532033,0,1,0.2078,0.2078,125,1063.096565
AS141,phos,5.987409618,AS141,4.18,3.026185567,0,1,0.3582,0.3582,125,2089.408716
AS163,phos,12.67683165,AS163,4.89,2.608642659,0,1,0.3395,0.3395,125,4667.46379
QR18,phos,6.926000203,QR18,4,3.813712375,0.111111111,0.888888889,0.1491,0.132533333,125,6532.319121
AS141,bglu,8.571004331,AS141,4.18,3.026185567,0,1,0.3582,0.3582,125,2990.998161
AS163,bglu,15.11853586,AS163,4.89,2.608642659,0,1,0.3395,0.3395,125,5566.471231
QR18,bglu,4.652168587,QR18,4,3.813712375,0.111111111,0.888888889,0.1491,0.132533333,125,4387.734468
AS141,lap,0.047888,AS141,4.18,3.026185567,0,1,0.3582,0.3582,125,16.7113345
AS163,lap,-0.082148685,AS163,4.89,2.608642659,0,1,0.3395,0.3395,125,-30.24620197
QR18,lap,0.092203171,QR18,4,3.813712375,0.111111111,0.888888889,0.1491,0.132533333,125,86.9622466
AS141,nag,3.987141657,AS141,4.18,3.026185567,0,1,0.3582,0.3582,125,1391.381092
AS163,nag,4.758519007,AS163,4.89,2.608642659,0,1,0.3395,0.3395,125,1752.032035
QR18,nag,1.829359661,QR18,4,3.813712375,0.111111111,0.888888889,0.1491,0.132533333,125,1725.376948
AS141,bxyl,0.30381812,AS141,4.18,3.026185567,0,1,0.3582,0.3582,125,106.0225153
