"Enzyme","Sample","nmol_per_ml","SampleID","wet.wt","dry.wt","perc.moist","perc.dry","enz.raw","enz.wt","volume","activity"
"phos","AS63","4.29044329303397","AS63",2.91,2.377300613,"0.384615384","0.615384616",0.2842,"0.174892308",125,3066.48941718607
"phos","QR186","2.14918008997243","QR186",2.53,0.781451613,"0.1","0.9",0.2808,"0.25272",125,1063.02434016522
"bglu","AS29","2.02003567997804","AS29",3.14,1.379032258,"0.2","0.8",0.2931,"0.23448",125,1076.86992492859
"bglu","AS63","4.15156223027792","AS63",2.91,2.377300613,"0.384615384","0.615384616",0.2842,"0.174892308",125,2967.22757403796
"bglu","QR186","2.68123482483524","QR186",2.53,0.781451613,"0.1","0.9",0.2808,"0.25272",125,1326.18848173633
"lap","AS29","0.0414066250600096","AS29",3.14,1.379032258,"0.2","0.8",0.2931,"0.23448",125,22.0736443726595
"lap","AS63","0.0822025052192067","AS63",2.91,2.377300613,"0.384615384","0.615384616",0.2842,"0.174892308",125,58.7522302719045
"lap","QR186","0.0323859242072699","QR186",2.53,0.781451613,"0.1","0.9",0.2808,"0.25272",125,16.0186788774483
"nag","AS29","2.26628151260504","AS29",3.14,1.379032258,"0.2","0.8",0.2931,"0.23448",125,1208.14222567225
"nag","AS63","1.64140944589067","AS63",2.91,2.377300613,"0.384615384","0.615384616",0.2842,"0.174892308",125,1173.15725935948
"nag","QR186","0.875514403292181","QR186",2.53,0.781451613,"0.1","0.9",0.2808,"0.25272",125,433.045664812926
"bxyl","AS29","0.14294733044733","AS29",3.14,1.379032258,"0.2","0.8",0.2931,"0.23448",125,76.2044366509564
"bxyl","AS63","0.373981373690338","AS63",2.91,2.377300613,"0.384615384","0.615384616",0.2842,"0.174892308",125,267.294040806484
